region,codigo_region,capital,area,poblacion,densidad_poblacion
Alabama,US-AL,Montgomery,135 767,5 039 877,"37,1"
Alaska,US-AK,Juneau,1 723 337,732 673,"0,4"
Arizona,US-AZ,Phoenix,295 234,7 276 316,"24,6"
Arkansas,US-AR,Little Rock,137 732,3 025 891,"22,0"
California,US-CA,Sacramento,423 967,39 237 836,"92,5"
Colorado,US-CO,Denver,269 601,5 812 069,"21,6"
Connecticut,US-CT,Hartford,14 357,3 605 597,"251,1"
Delaware,US-DE,Dover,6 446,1 003 384,"155,7"
District of Columbia,US-DC,Washington,"158,4",670 050,"4 230,1"
Florida,US-FL,Tallahassee,170 312,21 781 128,"127,9"
Georgia,US-GA,Atlanta,153 910,10 799 566,"70,2"
Hawaii,US-HI,Honolulu,28 313,1 441 553,"50,9"
Idaho,US-ID,Boise,216 643,1 900 923,"8,8"
Illinois,US-IL,Springfield,149 995,12 671 469,"84,5"
Indiana,US-IN,Indianapolis,94 326,6 805 985,"72,2"
Iowa,US-IA,Des Moines,145 746,3 193 079,"21,9"
Kansas,US-KS,Topeka,213 100,2 934 582,"13,8"
Kentucky,US-KY,Frankfort,104 656,4 509 394,"43,1"
Louisiana,US-LA,Baton Rouge,135 659,4 624 047,"34,1"
Maine,US-ME,Augusta,91 633,1 372 247,"15,0"
Maryland,US-MD,Annapolis,31 131,6 165 129,"198,0"
Massachusetts,US-MA,Boston,27 336,6 984 723,"255,5"
Michigan,US-MI,Lansing,250 487,10 050 811,"40,1"
Minnesota,US-MN,St. Paul,225 163,5 707 390,"25,3"
Mississippi,US-MS,Jackson,125 438,2 949 965,"23,5"
Missouri,US-MO,Jefferson City,180 540,6 168 187,"34,2"
Montana,US-MT,Helena,380 831,1 104 271,"2,9"
Nebraska,US-NE,Lincoln,200 330,1 963 692,"9,8"
Nevada,US-NV,Carson City,286 380,3 143 991,"11,0"
New Hampshire,US-NH,Concord,24 214,1 388 992,"57,4"
New Jersey,US-NJ,Trenton,22 591,9 267 130,"410,2"
New Mexico,US-NM,Santa Fe,314 917,2 115 877,"6,7"
New York,US-NY,Albany,141 397,19 835 913,"140,3"
North Carolina,US-NC,Raleigh,139 391,10 551 162,"75,7"
North Dakota,US-ND,Bismarck,183 108,774 948,"4,2"
Ohio,US-OH,Columbus,116 098,11 780 017,"101,5"
Oklahoma,US-OK,Oklahoma City,181 037,3 986 639,"22,0"
Oregon,US-OR,Salem,254 799,4 246 155,"16,7"
Pennsylvania,US-PA,Harrisburg,119 280,12 964 056,"108,7"
Rhode Island,US-RI,Providence,4 001,1 095 610,"273,8"
South Carolina,US-SC,Columbia,82 933,5 190 705,"62,6"
South Dakota,US-SD,Pierre,199 729,895 376,"4,5"
Tennessee,US-TN,Nashville,109 153,6 975 218,"63,9"
Texas,US-TX,Austin,695 662,29 527 941,"42,4"
Utah,US-UT,Salt Lake City,219 882,3 337 975,"15,2"
Vermont,US-VT,Montpelier,24 906,645 570,"25,9"
Virginia,US-VA,Richmond,110 787,8 642 274,"78,0"
Washington,US-WA,Olympia,184 661,7 738 692,"41,9"
West Virginia,US-WV,Charleston,62 756,1 782 959,"28,4"
Wisconsin,US-WI,Madison,169 635,5 895 908,"34,8"
Wyoming,US-WY,Cheyenne,253 335,578 803,"2,3"
